capture_index,filename,capture_time,image_stamp_sec,image_stamp_nanosec,mode,layer_index,x,y,z,yaw_rad,yaw_deg,tilt_deg
119,waypoint_000119.jpg,2026-07-18T19:03:13.914,225,196000000,pedestal_point_3,-1,9.962903022766113,23.945905685424805,-3.7111968994140625,-1.9657760788490724,-112.63067278582798,-35.0
120,waypoint_000120.jpg,2026-07-18T19:03:14.923,226,184000000,pedestal_point_3,-1,10.089468955993652,23.88426971435547,-4.1745758056640625,-1.9657760788490724,-112.63067278582798,-35.0
121,waypoint_000121.jpg,2026-07-18T19:03:15.950,227,176000000,pedestal_point_3,-1,10.099931716918945,23.877613067626953,-4.719242095947266,-1.9657760788490724,-112.63067278582798,-35.0
122,waypoint_000122.jpg,2026-07-18T19:03:16.947,228,164000000,pedestal_point_3,-1,10.097854614257812,23.786340713500977,-5.2897491455078125,-1.9657760788490724,-112.63067278582798,-35.0
123,waypoint_000123.jpg,2026-07-18T19:03:17.937,229,156000000,pedestal_point_3,-1,10.082833290100098,23.72127914428711,-5.8724517822265625,-1.9657760788490724,-112.63067278582798,-35.0
124,waypoint_000124.jpg,2026-07-18T19:03:18.948,230,144000000,pedestal_point_3,-1,10.095863342285156,23.726926803588867,-6.454364776611328,-1.9657760788490724,-112.63067278582798,-35.0
125,waypoint_000125.jpg,2026-07-18T19:03:19.929,231,136000000,pedestal_point_3,-1,10.084654808044434,23.745805740356445,-7.059757232666016,-1.9657760788490724,-112.63067278582798,-35.0
126,waypoint_000126.jpg,2026-07-18T19:03:20.960,231,860000000,pedestal_point_3,-1,10.054054260253906,23.782445907592773,-7.5341644287109375,-1.9657760788490724,-112.63067278582798,-35.0
127,waypoint_000127.jpg,2026-07-18T19:03:21.905,233,80000000,pedestal_point_3,-1,10.047637939453125,23.810243606567383,-7.308403015136719,-1.9657760788490724,-112.63067278582798,-35.0
128,waypoint_000128.jpg,2026-07-18T19:03:23.227,234,72000000,pedestal_point_3,-1,10.061476707458496,23.83208465576172,-6.833717346191406,-1.9657760788490724,-112.63067278582798,-35.0
129,waypoint_000129.jpg,2026-07-18T19:03:23.977,234,864000000,pedestal_point_3,-1,10.068806648254395,23.868886947631836,-6.308544158935547,-1.9657760788490724,-112.63067278582798,-35.0
130,waypoint_000130.jpg,2026-07-18T19:03:24.962,235,952000000,pedestal_point_3,-1,10.055784225463867,23.883222579956055,-5.7312164306640625,-1.9657760788490724,-112.63067278582798,-35.0
131,waypoint_000131.jpg,2026-07-18T19:03:26.185,237,8000000,pedestal_point_3,-1,10.061880111694336,23.914663314819336,-5.142337799072266,-1.9657760788490724,-112.63067278582798,-35.0
132,waypoint_000132.jpg,2026-07-18T19:03:27.231,238,32000000,pedestal_point_3,-1,10.05899429321289,23.933944702148438,-4.55206298828125,-1.9657760788490724,-112.63067278582798,-35.0
133,waypoint_000133.jpg,2026-07-18T19:03:31.387,242,452000000,pedestal_point_4,-1,-6.925678730010986,16.951644897460938,-3.7003440856933594,-0.3949797520541757,-22.630672785827972,-35.0
134,waypoint_000134.jpg,2026-07-18T19:03:32.415,243,148000000,pedestal_point_4,-1,-6.874637603759766,17.12100601196289,-4.1629486083984375,-0.3949797520541757,-22.630672785827972,-35.0
135,waypoint_000135.jpg,2026-07-18T19:03:33.583,244,336000000,pedestal_point_4,-1,-6.883217811584473,17.10386085510254,-4.703266143798828,-0.3949797520541757,-22.630672785827972,-35.0
136,waypoint_000136.jpg,2026-07-18T19:03:34.360,245,392000000,pedestal_point_4,-1,-6.81173849105835,17.09016227722168,-5.277744293212891,-0.3949797520541757,-22.630672785827972,-35.0
137,waypoint_000137.jpg,2026-07-18T19:03:35.531,246,248000000,pedestal_point_4,-1,-6.745027542114258,17.10730743408203,-5.877590179443359,-0.3949797520541757,-22.630672785827972,-35.0
138,waypoint_000138.jpg,2026-07-18T19:03:36.532,247,240000000,pedestal_point_4,-1,-6.715829372406006,17.121932983398438,-6.467159271240234,-0.3949797520541757,-22.630672785827972,-35.0
139,waypoint_000139.jpg,2026-07-18T19:03:37.421,248,96000000,pedestal_point_4,-1,-6.736435890197754,17.1007080078125,-7.066444396972656,-0.3949797520541757,-22.630672785827972,-35.0
140,waypoint_000140.jpg,2026-07-18T19:03:38.590,249,252000000,pedestal_point_4,-1,-6.744612693786621,17.07952308654785,-7.542125701904297,-0.3949797520541757,-22.630672785827972,-35.0
141,waypoint_000141.jpg,2026-07-18T19:03:39.684,250,340000000,pedestal_point_4,-1,-6.769580841064453,17.068037033081055,-7.306575775146484,-0.3949797520541757,-22.630672785827972,-35.0
142,waypoint_000142.jpg,2026-07-18T19:03:40.431,251,68000000,pedestal_point_4,-1,-6.827502727508545,17.073143005371094,-6.846912384033203,-0.3949797520541757,-22.630672785827972,-35.0
